OBJECTID,YearBuilt1,HEIGHT,UseDescription,GrossFloorArea,orientation,street_width,second_type
1008,1960,3,12,64.67,120.0,21.14,79
1017,1960,3,12,,60.0,20.29,79
1020,1960,3,12,,120.0,8.55,79
1023,2000,3,12,,125.0,6.74,79
1025,2000,3,12,38.12,120.0,5.28,48
1032,2006,3,12,,330.0,6.88,79
1034,1995,3,12,137.3,135.0,6.01,48
1038,2023,3,12,,105.0,5.82,48
1050,2023,3,12,,240.0,inf,48
1052,2023,3,12,139.46,260.0,6.65,48
1055,2023,6,12,,265.0,6.57,48
1058,2023,3,12,,285.0,6.66,48
1060,2023,3,12,144.94,285.0,5.99,48
1064,1970,3,12,78.18,320.0,15.77,71
1070,2010,6,12,,125.0,24.44,79
1074,2001,3,12,,10.0,9.63,48
1078,1997,3,12,,5.0,9.13,48
1086,2001,3,12,55.77,100.0,3.65,79
1095,1998,3,12,118.1,95.0,19.81,48
1099,1997,3,12,,275.0,80.27,48
1102,1999,6,12,,275.0,24.31,48
1106,1989,6,12,,95.0,19.82,48
1110,2019,3,12,,5.0,11.89,48
1117,1981,3,12,34.93,95.0,10.15,71
1126,1982,3,12,112.0,0.0,8.59,71
1128,2003,3,12,88.3,0.0,8.67,48
1131,1988,3,12,184.61,180.0,11.13,71
1135,1951,3,12,,0.0,8.58,79
1146,1971,3,12,124.27,265.0,14.84,71
1148,1974,3,12,,30.0,11.8,71
1155,2007,6,12,157.11,120.0,35.94,48
1165,1960,3,12,,225.0,7.58,79
1172,1995,3,12,123.92,215.0,7.36,48
1175,1980,3,12,101.87,45.0,8.64,79
1178,2009,3,12,1563.6,280.0,73.32,48
1181,2009,3,12,1815.87,260.0,0.0,48
1184,2009,3,12,1251.38,255.0,0.0,48
1187,2011,3,12,413.71,175.0,26.4,48
1189,2000,9,12,951.75,315.0,46.11,48
1192,1999,9,12,676.34,290.0,30.62,48
1234,1994,3,12,122.54,325.0,8.21,79
1238,1993,3,12,,305.0,9.02,48
1246,2019,3,12,,305.0,8.7,48
1250,2021,3,12,,305.0,8.33,48
1254,2002,3,12,,0.0,19.11,48
1264,2012,3,12,,45.0,10.54,48
1268,2012,3,12,,45.0,10.52,48
1271,1983,3,12,137.31,305.0,37.22,71
1276,1985,3,12,,275.0,19.8,48
1278,1980,3,12,101.77,20.0,12.17,71
1282,1981,3,12,,20.0,12.68,48
1291,1966,3,12,,100.0,30.73,79
1295,1982,3,12,,140.0,10.45,48
1299,1984,3,12,219.34,230.0,10.2,79
1302,1977,3,12,50.57,230.0,9.96,48
1305,1998,3,12,22.22,230.0,10.74,48
1308,1977,3,12,9.33,275.0,inf,79
1312,1985,3,12,,280.0,20.7,79
1318,1984,3,12,61.44,350.0,12.32,71
1321,1983,3,12,35.98,55.0,6.21,71
1324,1978,3,12,26.58,145.0,6.37,71
1326,1984,3,12,83.9,100.0,6.2,71
1328,1990,3,12,96.0,100.0,6.19,48
1333,1982,3,12,,25.0,6.22,48
1337,1980,3,12,,15.0,6.71,79
1342,1992,6,12,,15.0,6.3,79
1345,1982,3,12,90.92,150.0,34.76,71
