OBJECTID,YearBuilt1,HEIGHT,UseDescription,GrossFloorArea,orientation,street_width,second_type
2919,1996,3,10,104.26,115.0,8.23,73
2923,1982,3,10,67.24,115.0,8.28,67
2926,1985,3,10,70.4,115.0,8.15,67
2928,2002,3,10,96.78,115.0,15.89,73
2932,2020,3,10,73.13,115.0,8.14,73
2936,2002,3,10,79.22,115.0,8.16,73
2938,2004,3,10,9.96,165.0,7.57,73
2941,1982,3,10,46.35,300.0,8.25,67
2945,1985,3,10,124.59,295.0,8.26,73
2947,1985,3,10,92.35,200.0,12.09,73
2951,2004,3,10,131.5,300.0,8.48,73
2953,1983,3,10,,300.0,84.71,67
2959,1998,3,10,124.16,295.0,8.31,73
2965,2020,3,10,,15.0,30.72,73
2969,2006,3,10,149.98,15.0,13.64,73
2971,1987,3,10,72.06,15.0,7.65,73
2982,1990,3,10,47.51,185.0,8.32,67
2985,1982,3,10,103.11,190.0,8.03,67
2987,1994,3,10,106.84,190.0,8.05,73
2989,1982,3,10,127.67,190.0,8.06,67
2992,1980,3,10,117.76,175.0,8.13,67
2998,1960,3,10,,165.0,7.77,67
3000,1982,3,10,39.61,0.0,7.74,73
3002,2004,3,10,169.26,350.0,7.6,73
3004,1982,3,10,122.79,170.0,7.89,73
3008,2004,3,10,121.58,170.0,7.98,73
3014,1996,3,10,,350.0,7.87,73
3021,2006,3,10,98.0,240.0,35.34,73
3024,1986,3,10,110.89,0.0,20.51,73
3028,1999,3,10,23.32,175.0,8.15,73
3034,2020,3,10,109.54,295.0,8.14,73
3037,1970,3,10,,355.0,9.25,73
3049,1982,3,10,162.3,300.0,9.9,67
3054,1982,3,10,,85.0,inf,73
3059,2020,3,10,114.11,150.0,inf,73
3064,1980,3,10,,150.0,8.41,67
3066,2006,3,10,82.2,150.0,8.31,73
3067,1985,3,10,38.71,90.0,16.52,67
3073,1975,3,10,,320.0,8.46,73
3077,1990,3,10,123.33,300.0,8.51,73
3084,2004,3,10,84.43,295.0,8.17,73
3086,2006,3,10,97.89,295.0,8.19,73
3091,2020,3,10,,70.0,6.34,73
3093,1994,3,10,107.14,165.0,8.73,73
3095,2006,3,10,,165.0,9.05,73
3101,1983,3,10,1031.3,30.0,0.0,67
3106,2008,3,10,41.41,115.0,7.67,73
3109,1978,3,10,197.36,45.0,8.4,73
3113,2003,3,10,111.09,115.0,13.88,73
3119,2003,3,10,,115.0,8.48,73
3124,1985,3,10,84.32,20.0,8.0,73
3128,1985,3,10,110.73,25.0,8.02,73
3131,1974,3,10,113.63,130.0,8.53,67
3133,1985,3,10,,175.0,19.55,73
3137,1980,3,10,101.11,175.0,10.46,67
3141,2009,3,10,93.97,170.0,8.24,73
3144,2018,3,10,25.03,215.0,18.75,73
3152,1978,3,10,,45.0,8.0,67
3156,1978,3,10,133.27,55.0,6.88,73
3162,1984,3,10,,225.0,7.94,67
