label,index
3,3459
3,20372
4,18308
5,18099
3,25786
1,25417
3,4239
2,9142
4,24878
3,10487
0,10716
3,2735
1,12582
4,12613
5,19064
2,4328
4,25697
2,25506
3,9053
5,10596
0,2624
5,10607
2,24969
4,12493
2,12702
2,19175
2,7141
2,15162
4,12801
2,5044
2,17067
4,10904
1,2927
4,3548
4,22366
1,20263
5,18219
0,18188
3,3408
3,3799
1,22226
4,20323
2,18359
3,7390
0,12941
2,15022
1,7001
3,5295
3,2867
4,10844
1,17127
2,5104
4,9282
3,9113
0,10747
2,2764
4,24829
1,12642
1,19035
0,4268
3,25446
5,18239
0,20243
2,3568
2,22346
3,2907
5,10924
3,17047
1,5064
2,12821
5,15142
3,7161
0,19155
1,12722
5,10627
2,2604
2,2595
2,24949
3,9073
1,4099
2,4308
2,25526
1,11899
4,4248
3,25466
4,19015
4,19384
2,12662
3,2744
0,10767
4,24809
0,9133
3,5124
5,17107
4,10864
3,2847
0,17296
4,7021
1,15002
2,12961
3,15393
2,18379
1,20303
2,20092
2,3428
0,22206
1,22197
2,17016
2,5035
4,2956
3,10975
1,17387
5,15113
3,7130
3,12870
1,15282
1,18268
1,20212
4,20183
2,22317
4,22086
4,3539
1,25577
1,11988
2,4359
5,19104
3,19295
2,12773
5,24918
0,10676
4,2655
2,9022
3,19044
2,12633
4,24858
3,2715
2,10736
0,2484
2,9162
3,25437
3,4188
2,4219
0,18328
4,20352
1,22257
2,3479
2,10835
0,2816
3,5175
3,17156
2,12930
5,7070
2,15053
3,12411
3,12780
4,19266
5,9340
4,10514
3,2537
4,10685
2,23088
2,23319
1,16389
3,3958
4,16018
4,25615
1,25584
4,20170
2,11678
2,22075
4,17374
4,5357
1,10986
3,24579
4,15271
1,7252
5,12883
2,5217
4,17234
3,5186
1,24439
3,7312
4,15331
5,7083
0,20030
3,11738
3,22135
1,25856
5,16158
1,3818
3,25755
0,12551
0,19326
3,9200
4,9191
2,2477
5,10454
0,23259
3,25644
5,16049
0,3909
0,12440
5,19237
4,9311
3,9080
3,23348
1,10545
2,2566
2,24528
1,17325
2,5306
4,5097
4,15220
1,7203
4,7192
0,20121
1,22024
3,11629
5,20061
3,25807
1,22164
2,11769
5,24468
5,5246
5,17265
4,10897
1,7343
3,15360
4,12992
5,12500
1,12691
1,19377
5,9251
0,23199
0,23208
1,2426
2,10405
1,10794
4,25704
3,25495
5,16298
2,3849
4,16109
2,25792
3,25403
3,6328
3,939
5,19070
4,12596
2,12607
4,10493
5,10702
3,2721
0,9156
0,17162
1,5141
2,2822
0,10801
5,15067
3,7044
3,12904
4,20366
2,1548
0,22263
2,20226
3,1408
3,1799
2,22323
5,10941
3,2962
1,5390
1,5001
3,17022
1,12844
3,7295
5,7104
2,15127
4,19130
0,12747
2,2661
1,10642
4,9387
3,9016
4,25543
1,6268
3,879
1,19021
2,12656
4,10753
3,2770
0,9296
3,9107
3,25452
3,6379
3,968
3,1519
1,1688
3,20337
2,22232
2,2873
0,10850
4,5281
4,17133
1,5110
0,12955
3,7384
0,15036
2,7015
0,5050
4,17073
2,10910
2,2933
3,7155
5,15176
2,12815
3,1459
1,20277
0,22372
5,25683
3,25512
0,6239
1,828
0,19161
4,12487
1,12716
4,10582
1,2630
4,10613
3,9047
4,17251
4,5272
3,2880
0,15354
3,7377
5,20055
3,13658
5,698
3,509
3,8109
3,8298
2,22150
1,25833
4,25730
1,14038
2,1978
3,21339
3,12534
1,19343
5,9265
4,2783
5,10431
2,2412
2,29
4,21279
4,12474
3,19192
3,19203
2,9325
2,2552
5,10571
5,25670
3,1838
1,14178
4,20284
4,20115
5,13718
2,13489
3,449
1,8049
4,22381
2,22010
0,17080
1,5332
2,17311
0,15185
1,7237
1,15214
4,13609
5,13598
2,20395
2,20004
3,558
3,8158
0,22290
2,25862
0,22101
3,17191
5,17200
3,5223
5,15094
5,15305
3,7326
2,12565
3,21368
2,19083
4,19312
2,9234
5,10460
2,78
1,2443
3,25761
1,1929
1,14069
3,25621
1,14129
3,1869
2,12425
4,21228
0,19252
4,9374
3,2692
3,2503
1,10520
1,5363
4,17340
3,2991
1,7266
0,15245
5,13749
4,20144
0,789
3,418
4,8018
4,8389
4,22041
5,7468
4,24343
4,8587
5,8616
0,3061
5,11042
2,16921
0,4902
3,1164
2,13147
0,14824
4,6807
1,216
4,187
4,18730
1,18833
1,20849
0,6495
5,6704
3,14727
4,4590
4,4601
4,16622
3,8915
3,23523
3,21426
2,23463
0,21566
4,15999
4,18973
3,20909
2,14667
3,6644
2,16762
3,4741
4,8855
4,8756
1,11293
0,4842
5,16861
1,11102
4,3121
1,13396
2,6947
1,14964
0,13007
1,1024
4,356
1,18670
4,7528
3,24192
1,24203
3,8647
0,11382
4,16970
0,4953
1,3030
3,11013
4,13287
5,14875
3,6856
2,1135
2,13116
2,18761
1,247
0,7439
3,24083
2,24312
1,23572
2,15888
3,21477
3,18862
3,6755
4,14776
0,20818
1,4650
5,16673
2,8944
5,18922
3,6584
2,14636
3,6615
0,20958
3,4481
5,16733
2,4710
5,8804
2,23432
4,21537
1,7579
2,24252
0,8496
4,8707
2,11153
4,3170
0,4813
1,16830
4,13056
2,1075
4,6916
1,14935
3,18621
3,307
5,14785
2,6437
0,14414
4,18891
5,16680
3,4532
5,16511
3,23581
1,23610
0,9649
1,21484
0,21715
0,12118
4,7858
5,12289
2,21816
3,15778
3,24070
3,23913
0,16983
1,3352
4,11371
5,8525
4,125
2,18792
3,18403
2,20479
3,14886
2,1257
0,13274
2,3183
4,11231
4,3212
4,8465
2,18543
1,20539
3,1086
3,13334
3,1317
3,21956
5,15638
0,23853
3,24130
0,23750
5,9709
4,9498
4,21655
4,7918
2,12058
4,14554
3,6577
1,16451
1,4472
4,23641
5,9618
5,9589
5,7809
4,12149
3,21744
5,6466
4,14445
3,4563
2,16540
1,3092
4,3303
1,11320
0,8574
4,18452
1,174
1,1197
2,1206
1,13225
2,20428
5,15729
2,21847
2,23942
2,24021
5,15669
2,21907
3,24161
2,23802
1,16892
4,11260
2,3243
4,8434
0,18683
0,18512
2,14997
1,13365
3,1346
5,20568
4,14694
1,14505
2,6526
5,18980
4,16791
3,16400
2,4423
2,23490
2,23701
4,9758
0,12009
4,7949
4,12398
1,21595
3,21604
1,2228
2,23406
0,23797
1,21503
0,21692
1,19579
4,18916
3,6621
3,14602
3,14593
1,4724
5,16707
4,16496
4,22869
5,8830
5,8733
4,16804
4,4827
3,3144
5,11167
2,14901
0,6922
2,1041
4,13062
4,18615
5,18584
4,333
2,21991
5,5448
3,24266
4,23894
3,5699
2,5508
1,24326
1,8673
2,11027
2,3004
2,3395
2,4967
0,16944
4,13122
1,1101
1,1290
1,6862
4,14841
2,18755
3,273
4,18856
4,14742
1,6761
5,16647
3,4664
3,22929
3,8970
1,2368
3,23546
2,21443
1,19439
